Pressure (atm),Temperature (K),P1_SymmetryFactor_1_P1->W1,W2_Energy_1_P1->W1,B4_Energy_1_P1->W1,W1_Frequencies_1_P1->W1,P2_SymmetryFactor_1_P1->W1,B5_ImaginaryFrequency_1_P1->W1,W1_Energy_1_P1->W1,B4_ImaginaryFrequency_1_P1->W1,B5_Frequencies_1_P1->W1,P2_Energy_1_P1->W1,B4_Frequencies_1_P1->W1,P2_Frequencies_1_P1->W1,B4_SymmetryFactor_1_P1->W1,P1_Frequencies_1_P1->W1,W1_SymmetryFactor_1_P1->W1,B5_SymmetryFactor_1_P1->W1,B5_Energy_1_P1->W1,W2_Frequencies_1_P1->W1,W2_SymmetryFactor_1_P1->W1,P1_Energy_1_P1->W1
10.0,1335.0,1.0000004024105973,0.0,-0.3765224475952345,0.0,0.0,0.0004681423151029493,0.0,0.18522358932572414,-0.0357174660309867,0.0,-3.3193978450981643,0.0,-0.9912688824629186,2.043704589287209,0.0,-0.008312950386190277,-0.00040909367189871074,0.0,0.0,0.3769446427048841
10.0,1340.0,1.000000387897688,0.0,-0.3751005323313796,0.0,0.0,0.0004901577204560164,0.0,0.1837704103816141,-0.035139542840451336,0.0,-3.3246307167843345,0.0,-0.9913959173331869,2.0485584060168693,0.0,-0.00819102114170845,-0.00042370457963713544,0.0,0.0,0.3755381264655496
10.0,1345.0,1.0000003738039291,0.0,-0.3736886080703308,0.0,0.0,0.0005124977261228307,0.0,0.18233388366612535,-0.03455060750856903,0.0,-3.329852187920917,0.0,-0.9915250130959224,2.053390581835787,0.0,-0.008067016631694485,-0.0004387692541247083,0.0,0.0,0.37414206764163
10.0,1350.0,1.0000003601178695,0.0,-0.3722865637028352,0.0,0.0,0.0005351473399571135,0.0,0.18091375611853464,-0.03395187088072699,0.0,-3.335060873175093,0.0,-0.9916558839993711,2.0582012392232953,0.0,-0.007941208980139608,-0.0004542832169663303,0.0,0.0,0.3727563500391782
10.0,1355.0,1.0000003468283751,0.0,-0.37089428985671713,0.0,0.0,0.0005580920461503302,0.0,0.1795097794621957,-0.03334449645823042,0.0,-3.340255447588892,0.0,-0.9917882557386812,2.0629904999711672,0.0,-0.00781385946629397,-0.00047024194811125345,0.0,0.0,0.3713808591792935
10.0,1360.0,1.0000003339246217,0.0,-0.36951167886142594,0.0,0.0,0.0005813177902027149,0.0,0.17812171009649835,-0.0327296020540206,0.0,-3.3454346444150724,0.0,-0.991921865051692,2.0677584851869497,0.0,-0.007685218906676156,-0.0004866408904076558,0.0,0.0,0.3700154822665934
10.0,1365.0,1.0000003213960835,0.0,-0.36813862471347414,0.0,0.0,0.0006048109643999471,0.0,0.17674930899167227,-0.03210826138942856,0.0,-3.3505972530308523,0.0,-0.99205645932921,2.07250531529719,0.0,-0.007555528023773144,-0.000503475453935259,0.0,0.0,0.36866010815838085
10.0,1370.0,1.0000003092325254,0.0,-0.366775023042744,0.0,0.0,0.0006285583937752856,0.0,0.17539234158633638,-0.031481505634320166,0.0,-3.3557421169266055,0.0,-0.992191796239176,2.0772311100505583,0.0,-0.007425017801234388,-0.0005207410201219265,0.0,0.0,0.3673146273344851
10.0,1375.0,1.0000002974239943,0.0,-0.36542077107963783,0.0,0.0,0.0006525473225351755,0.0,0.1740505776877084,-0.030850324892628633,0.0,-3.3608681317661837,0.0,-0.9923276433642554,2.0819359885208644,0.0,-0.007293909826697088,-0.0005384329456615309,0.0,0.0,0.3659789318677605
10.0,1380.0,1.000000285960811,0.0,-0.36407576762304283,0.0,0.0,0.0006767654009381009,0.0,0.1727237913744148,-0.030215669635107027,0.0,-3.3659742435165767,0.0,-0.9924637778523053,2.08662006911,0.0,-0.0071624166222508424,-0.0005565465662332637,0.0,0.0,0.364652915395229
