    E, kcal/mol    D, mol/kcal       W1a->W1b       W1a->W2a       W1a->W2b        W1a->P1
        26.3725    2.55464e+16    4.89868e+11       0.999988       0.999988    1.86256e+12
        26.5154    2.65856e+16    4.90491e+11       0.999989       0.999989    1.85569e+12
        26.6584    2.76632e+16    4.91111e+11       0.999988       0.999988    1.84886e+12
        26.8014    2.87804e+16    4.91726e+11       0.999989       0.999989    1.84205e+12
        26.9443    2.99386e+16    4.92338e+11       0.999988       0.999988    1.83527e+12
        27.0873    3.11391e+16    4.92946e+11       0.999987       0.999987    1.82849e+12
        27.2302    3.23832e+16     4.9355e+11       0.999987       0.999987    1.82174e+12
        27.3732    3.36725e+16     4.9415e+11       0.999987       0.999987    1.81502e+12
        27.5161    3.50084e+16    4.94746e+11       0.999988       0.999988    1.80832e+12
        27.6591    3.63924e+16    4.95338e+11       0.999989       0.999989    1.80165e+12
         27.802     3.7826e+16    4.95927e+11        0.99999        0.99999    1.79499e+12
         27.945     3.9311e+16    4.96512e+11       0.999989       0.999989    1.78835e+12
         28.088    4.08489e+16    4.97094e+11        0.99999        0.99999    1.78174e+12
        28.2309    4.24414e+16    4.97671e+11       0.999989       0.999989    1.77517e+12
        28.3739    4.40903e+16    4.98246e+11       0.999988       0.999988    1.76863e+12
        28.5168    4.57974e+16    4.98816e+11        0.99999        0.99999    1.76211e+12
        28.6598    4.75645e+16    4.99384e+11       0.999988       0.999988    1.75562e+12
        28.8027    4.93936e+16    4.99947e+11       0.999987       0.999987    1.74915e+12
        28.9457    5.12865e+16    5.00508e+11       0.999988       0.999988    1.74273e+12
        29.0886    5.32454e+16    5.01065e+11       0.999987       0.999987    1.73634e+12
        29.2316    5.52723e+16    5.01618e+11       0.999988       0.999988    1.72999e+12
        29.3746    5.73692e+16    5.02169e+11        0.99999        0.99999    1.72366e+12
        29.5175    5.95385e+16    5.02716e+11       0.999991       0.999991    1.71734e+12
        29.6605    6.17822e+16    5.03259e+11        0.99999        0.99999    1.71106e+12
        29.8034    6.41029e+16      5.038e+11       0.999986       0.999986    1.70481e+12
        29.9464    6.65027e+16    5.04337e+11       0.999986       0.999986     1.6986e+12
        30.0893    6.89842e+16    5.04871e+11       0.999988       0.999988    1.69241e+12
        30.2323    7.15499e+16    5.05402e+11       0.999987       0.999987    1.68624e+12
        30.3752    7.42023e+16     5.0593e+11       0.999987       0.999987    1.68009e+12
        30.5182    7.69442e+16    5.06455e+11       0.999988       0.999988    1.67397e+12
        30.6612    7.97781e+16    5.06976e+11       0.999985       0.999985    1.66788e+12
