========================================
ch3oh_B1_Energy_1_34.9759.out
0.1 atm
T,R->W1
1400.0,1.52969e-11
1500.0,1.19356e-11
1600.0,9.27945e-12
1700.0,7.1972e-12
1800.0,5.57307e-12
1900.0,4.31297e-12
2000.0,3.33699e-12
2100.0,2.58305e-12
2200.0,2.0016e-12
2300.0,1.55345e-12
2400.0,1.20882e-12
========================================
ch3oh_B1_Energy_1_34.9759.out
0.1 atm
T,R->P1
200.0,8.66529e-13
210.0,1.01801e-12
220.0,1.18177e-12
230.0,1.35663e-12
240.0,1.54095e-12
250.0,1.73463e-12
260.0,1.93677e-12
270.0,2.1451e-12
280.0,2.36024e-12
290.0,2.57882e-12
300.0,2.80122e-12
310.0,3.02594e-12
320.0,3.25089e-12
330.0,3.47471e-12
340.0,3.69895e-12
350.0,3.91931e-12
360.0,4.13796e-12
370.0,4.35031e-12
380.0,4.55978e-12
390.0,4.76348e-12
400.0,4.96114e-12
410.0,5.15079e-12
420.0,5.33532e-12
430.0,5.51212e-12
440.0,5.681e-12
450.0,5.8412e-12
460.0,5.99411e-12
470.0,6.13937e-12
480.0,6.27694e-12
490.0,6.40555e-12
500.0,6.5278e-12
510.0,6.64122e-12
520.0,6.74752e-12
530.0,6.84517e-12
540.0,6.936e-12
550.0,7.02032e-12
560.0,7.09709e-12
570.0,7.16723e-12
580.0,7.23178e-12
590.0,7.29005e-12
600.0,7.34143e-12
610.0,7.38707e-12
620.0,7.42767e-12
630.0,7.46256e-12
640.0,7.49236e-12
650.0,7.51746e-12
660.0,7.53861e-12
670.0,7.55718e-12
680.0,7.56962e-12
690.0,7.57808e-12
700.0,7.58218e-12
800.0,7.47707e-12
900.0,7.19286e-12
1000.0,6.83789e-12
1100.0,6.46861e-12
1200.0,6.12146e-12
1300.0,5.80797e-12
1400.0,5.53327e-12
1500.0,5.29683e-12
1600.0,5.096e-12
1700.0,4.93034e-12
1800.0,4.79128e-12
1900.0,4.67853e-12
2000.0,4.58659e-12
2100.0,4.51431e-12
2200.0,4.45716e-12
2300.0,4.41509e-12
2400.0,4.38475e-12
========================================
ch3oh_B1_Energy_1_34.9759.out
1.0 atm
T,R->P1
200.0,9.42157e-14
210.0,1.12287e-13
220.0,1.32444e-13
230.0,1.54722e-13
240.0,1.79111e-13
250.0,2.0579e-13
260.0,2.3488e-13
270.0,2.66286e-13
280.0,3.00316e-13
290.0,3.36726e-13
300.0,3.75805e-13
310.0,4.17523e-13
320.0,4.61727e-13
330.0,5.08438e-13
340.0,5.58024e-13
350.0,6.09924e-13
360.0,6.64627e-13
370.0,7.21445e-13
380.0,7.81015e-13
390.0,8.42875e-13
400.0,9.06853e-13
410.0,9.72746e-13
420.0,1.04101e-12
430.0,1.11112e-12
440.0,1.18274e-12
450.0,1.2558e-12
460.0,1.33057e-12
470.0,1.40648e-12
480.0,1.48377e-12
490.0,1.56166e-12
500.0,1.64082e-12
510.0,1.72026e-12
520.0,1.80051e-12
