*F - collisional frequency
*Q - minimal relaxational eigenvalue
*E - eigenvalue
*P - eigenvector projection squared on the relaxational subspace
 Temperature,    Pressure,          *F,         *Q/F         *E/F           *P         *E/F           *P
            K          atm        1/sec                         0            0            1            1
         2625           10   1.2798e+10      652.911      12.2149     0.999837      13.9897     0.999782
         2630           10  1.27823e+10      494.762      1.86298     0.999876      1.99692     0.999907
         2635           10  1.27665e+10      362.227      2.45144     0.999941      2.61259     0.999957
         2640           10  1.27508e+10      354.802      2.51834     0.999946      2.68556      0.99996
         2645           10  1.27352e+10      249.169      3.64569     0.999984      3.83277     0.999988
         2650           10  1.27196e+10      167.431      5.93967     0.999999      6.25625     0.999999
         2655           10   1.2704e+10      1221.32      105.337     0.999571      130.496     0.999455
         2660           10  1.26885e+10      1207.52      101.811     0.999585      125.956     0.999472
         2665           10  1.26731e+10      972.963       54.097     0.999718      65.1167     0.999633
         2670           10  1.26577e+10      772.184      22.3292     0.999814      26.0003     0.999752
         2675           10  1.26423e+10      600.534      5.68143     0.999885      6.23342     0.999846
         2680           10   1.2627e+10      591.721      5.05635     0.999891      5.48151     0.999853
         2685           10  1.26118e+10      444.007       2.2061     0.999923      2.36045     0.999943
         2690           10  1.25965e+10      321.278      3.01992      0.99997      3.20077     0.999978
         2695           10  1.25814e+10      224.931      4.49149     0.999994      4.76452     0.999996
         2700           10  1.25662e+10      220.039      4.74642     0.999995       4.9021     0.999996
         2705           10  1.25512e+10      1459.66      146.747     0.999511      183.567     0.999383
         2710           10  1.25361e+10      1192.07      88.7202     0.999657      109.171      0.99956
         2715           10  1.25212e+10      964.373      45.4218     0.999766      54.3704     0.999694
         2720           10  1.25062e+10      954.485      43.3769     0.999774      51.7171     0.999703
         2725           10  1.24913e+10      758.654      16.3784     0.999852      18.9319     0.999802
         2730           10  1.24765e+10      589.421      3.15973     0.999912      3.23133     0.999882
         2735           10  1.24617e+10      583.113      2.78899     0.999915      2.79061     0.999886
         2740           10  1.24469e+10      438.263      2.42156     0.999943      2.58708     0.999958
         2745           10  1.24322e+10      317.953      3.34139     0.999979      3.53396     0.999985
